name,team,battingStyle,bowlingStyle,playingRole,image
RuturajGaikwad,Super Kings,Right hand Bat,Right arm Offbreak,Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/102.png
FafduPlessis,Super Kings,Right hand Bat,Legbreak,Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/94.png
RobinUthappa,Super Kings,Right hand Bat,Right arm Medium,Batter,https://scores.iplt20.com/ipl/playerimages/Robin%20Uthappa.png?v=4
MoeenAli,Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/206.png
ShubmanGill,KKR,Right hand Bat,Right arm Offbreak,Opening Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/62.png
VenkateshIyer,KKR,Left hand Bat,Right arm Medium,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/584.png
NitishRana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/148.png
SunilNarine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/156.png
EoinMorgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter,
DineshKarthik,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/13.png
ShakibAlHasan,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://scores.iplt20.com/ipl/playerimages/Shakib%20Al%20Hasan.png?v=4
RahulTripathi,KKR,Right hand Bat,Right arm Medium,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/188.png
LockieFerguson,KKR,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/69.png
ShivamMavi,KKR,Right hand Bat,Right arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/154.png
VarunChakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/140.png
DeepakChahar,Super Kings,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/91.png
JoshHazlewood,Super Kings,Left hand Bat,Right arm Fast medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Josh%20Hazlewood.png?v=4
ShardulThakur,Super Kings,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/105.png
DwayneBravo,Super Kings,Right hand Bat,Right arm Medium,Allrounder,https://scores.iplt20.com/ipl/playerimages/Dwayne%20Bravo.png?v=4
RavindraJadeja,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/46.png
PrithviShaw,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/51.png
ShikharDhawan,Capitals,Left hand Bat,Right arm Offbreak,Opening Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/11.png
MarcusStoinis,Capitals,Right hand Bat,Right arm Medium,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/23.png
ShreyasIyer,Capitals,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/12.png
RishabhPant,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/18.png
ShimronHetmyer,Capitals,Left hand Bat,Not Available,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/210.png
AxarPatel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/110.png
AnrichNortje,Capitals,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/142.png
RavichandranAshwin,Capitals,Right hand Bat,Right arm Offbreak,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/45.png
AveshKhan,Capitals,Right hand Bat,Right arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/109.png
KagisoRabada,Capitals,Left hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/116.png
DevduttPadikkal,RCB,Left hand Bat,Right arm Offbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/200.png
ViratKohli,RCB,Right hand Bat,Right arm Medium,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/2.png
SrikarBharat,RCB,Right hand Bat,Not Available,Wicketkeeper Batter,
GlennMaxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/28.png
ABdeVilliers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
ShahbazAhmed,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Ahmed.png?v=4
DanChristian,RCB,Right hand Bat,Right arm Fast medium,Allrounder,
HarshalPatel,RCB,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/114.png
GeorgeGarton,RCB,Left hand Bat,Left arm Fast,Bowling Allrounder,
MohammedSiraj,RCB,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/63.png
YuzvendraChahal,RCB,Right hand Bat,Legbreak Googly,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/10.png
TomCurran,Capitals,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/309.png
AmbatiRayudu,Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter,https://scores.iplt20.com/ipl/playerimages/Ambati%20Rayudu.png?v=4
MSDhoni,Super Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/57.png
RipalPatel,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter,https://scores.iplt20.com/ipl/playerimages/Ripal%20Patel.png?v=4
RohitSharma,Mumbai,Right hand Bat,Right arm Offbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/6.png
IshanKishan,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/164.png
HardikPandya,Mumbai,Right hand Bat,Right arm Medium fast,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/54.png
KieronPollard,Mumbai,Right hand Bat,Right arm Medium,Batting Allrounder,https://scores.iplt20.com/ipl/playerimages/Kieron%20Pollard.png?v=4
SuryakumarYadav,Mumbai,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/174.png
JamesNeesham,Mumbai,Left hand Bat,Right arm Medium fast,Batting Allrounder,
KrunalPandya,Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/17.png
NathanCoulter-Nile,Mumbai,Right hand Bat,Right arm Fast,Bowling Allrounder,https://scores.iplt20.com/ipl/playerimages/Nathan%20Coulter-Nile.png?v=4
PiyushChawla,Mumbai,Left hand Bat,Legbreak,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/149.png
JaspritBumrah,Mumbai,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/9.png
TrentBoult,Mumbai,Right hand Bat,Left arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/66.png
JasonRoy,Sunrisers,Right hand Bat,Not Available,Opening Batter,https://scores.iplt20.com/ipl/playerimages/Jason%20Roy.png?v=4
AbhishekSharma,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/212.png
ManishPandey,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/16.png
MohammadNabi,Sunrisers,Right hand Bat,Right arm Offbreak,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/217.png
AbdulSamad,Sunrisers,Right hand Bat,Legbreak,Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/525.png
PriyamGarg,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter,https://scores.iplt20.com/ipl/playerimages/Priyam%20Garg.png?v=4
JasonHolder,Sunrisers,Right hand Bat,Right arm Medium fast,Bowling Allrounder,https://scores.iplt20.com/ipl/playerimages/Jason%20Holder.png?v=4
RashidKhan,Sunrisers,Right hand Bat,Legbreak Googly,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/218.png
WriddhimanSaha,Sunrisers,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/225.png
SiddarthKaul,Sunrisers,Right hand Bat,Right arm Medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Siddarth%20Kaul.png?v=4
UmranMalik,Sunrisers,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/637.png
YashasviJaiswal,Royals,Left hand Bat,Legbreak,Opening Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/533.png
LiamLivingstone,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/183.png
SanjuSamson,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/190.png
ShivamDube,Royals,Left hand Bat,Right arm Medium,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/211.png
AnujRawat,Royals,Left hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/534.png
GlennPhillips,Royals,Right hand Bat,Right arm Offbreak,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/635.png
RahulTewatia,Royals,Left hand Bat,Legbreak,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/120.png
ChrisMorris,Royals,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
JaydevUnadkat,Royals,Right hand Bat,Left arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/180.png
ChetanSakariya,Royals,Left hand Bat,Left arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/592.png
MustafizurRahman,Royals,Left hand Bat,Left arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/258.png
KLRahul,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/19.png
MayankAgarwal,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/55.png
SarfarazKhan,Punjab Kings,Right hand Bat,Legbreak,Middle order Batter,
MShahrukhKhan,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter,https://scores.iplt20.com/ipl/playerimages/Shahrukh%20Khan.png?v=4
AidenMarkram,Punjab Kings,Right hand Bat,Right arm Offbreak,Opening Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/287.png
MoisesHenriques,Punjab Kings,Right hand Bat,Right arm Fast medium,Allrounder,
MohammedShami,Punjab Kings,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2023/47.png
HarpreetBrar,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/130.png
ArshdeepSingh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/125.png
ChrisJordan,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Chris%20Jordan.png?v=4
RaviBishnoi,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/520.png
KaneWilliamson,Sunrisers,Right hand Bat,Right arm Offbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/65.png
BhuvneshwarKumar,Sunrisers,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/15.png
EvinLewis,Royals,Left hand Bat,Not Available,Opening Batter,https://scores.iplt20.com/ipl/playerimages/Evin%20Lewis.png?v=4
DavidMiller,Royals,Left hand Bat,Right arm Offbreak,Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/128.png
ShreyasGopal,Royals,Right hand Bat,Legbreak,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/192.png
KuldipYadav,Royals,Left hand Bat,Left arm Fast medium,Bowler,
JayantYadav,Mumbai,Right hand Bat,Right arm Offbreak,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/165.png
TimSouthee,KKR,Right hand Bat,Right arm Medium fast,Bowler,https://scores.iplt20.com/ipl/playerimages/Tim%20Southee.png?v=4
NicholasPooran,Punjab Kings,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://scores.iplt20.com/ipl/playerimages/Nicholas%20Pooran.png?v=4
SureshRaina,Super Kings,Left hand Bat,Right arm Offbreak,Middle order Batter,
AkashSingh,Royals,Right hand Bat,Left arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/535.png
MayankMarkande,Royals,Right hand Bat,Legbreak,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/87.png
SamCurran,Super Kings,Left hand Bat,Left arm Medium fast,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/138.png
KMAsif,Super Kings,Right hand Bat,Right arm Medium,Bowler,
QuintondeKock,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/170.png
SaurabhTiwary,Mumbai,Left hand Bat,Not Available,Top order Batter,
StevenSmith,Capitals,Right hand Bat,Legbreak Googly,Top order Batter,
TimSeifert,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,https://scores.iplt20.com/ipl/playerimages/Tim%20Seifert.png?v=4
DeepakHooda,Punjab Kings,Right hand Bat,Right arm Offbreak,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/215.png
FabianAllen,Punjab Kings,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://scores.iplt20.com/ipl/playerimages/Fabian%20Allen.png?v=4
NathanEllis,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/633.png
SandeepSharma,Sunrisers,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/220.png
MahipalLomror,Royals,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://scores.iplt20.com/ipl/playerimages/Mahipal%20Lomror.png?v=4
RiyanParag,Royals,Right hand Bat,Legbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/189.png
KartikTyagi,Royals,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/536.png
MandeepSingh,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder,https://scores.iplt20.com/ipl/playerimages/Mandeep%20Singh.png?v=4
ChrisGayle,Punjab Kings,Left hand Bat,Right arm Offbreak,Allrounder,https://scores.iplt20.com/ipl/playerimages/Chris%20Gayle.png?v=4
RahulChahar,Mumbai,Right hand Bat,Legbreak Googly,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/171.png
LalitYadav,Capitals,Right hand Bat,Right arm Offbreak,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/538.png
SandeepWarrier,KKR,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/228.png
KyleJamieson,RCB,Right hand Bat,Right arm Fast medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Kyle%20Jamieson.png?v=4
AdamMilne,Mumbai,Right hand Bat,Right arm Fast,Bowler,https://scores.iplt20.com/ipl/playerimages/Adam%20Milne.png?v=4
AndreRussell,KKR,Right hand Bat,Right arm Fast,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/141.png
PrasidhKrishna,KKR,Right hand Bat,Right arm Fast medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Prasidh%20Krishna.png?v=4
DavidWarner,Sunrisers,Left hand Bat,Legbreak,Opening Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/214.png
KedarJadhav,Sunrisers,Right hand Bat,Right arm Offbreak,Batting Allrounder,
